step,unique_count,entropy,top_freq
646000,118,3.7321,120
647000,130,3.8212,120
648000,144,3.9789,116
649000,154,3.9564,121
650000,161,3.9806,126
651000,171,4.0567,122
652000,167,4.0435,126
653000,158,4.0202,112
654000,151,3.9667,126
655000,150,3.8993,118
656000,150,3.8824,130
657000,138,3.7314,151
658000,132,3.7246,134
659000,129,3.7675,156
660000,139,3.8262,138
661000,135,3.8538,119
662000,142,3.9463,106
663000,141,3.8569,106
664000,145,3.8679,143
665000,146,3.8768,144
666000,154,3.9871,136
667000,163,4.0106,154
668000,164,3.9981,148
669000,161,3.9477,131
670000,161,4.0304,136
671000,177,4.0684,135
672000,154,4.0106,117
673000,169,4.0371,124
674000,156,3.9005,134
675000,163,3.9745,127
676000,166,4.0433,133
677000,172,4.0275,142
678000,183,4.1183,132
679000,178,4.0858,140
680000,185,4.2065,122
681000,183,4.1777,128
682000,164,4.0591,137
683000,174,4.0834,145
684000,173,4.1822,130
685000,176,4.0929,123
686000,174,3.9961,124
687000,162,3.9902,140
688000,166,4.1070,125
689000,154,4.0848,116
690000,163,4.1236,98
691000,157,3.9904,118
692000,175,3.9420,140
693000,177,4.0672,145
694000,178,4.1399,124
695000,173,4.1081,123
696000,168,4.0871,120
697000,168,4.1132,131
698000,183,4.1826,125
699000,175,4.0945,123
700000,169,4.0675,114
701000,158,4.0283,115
702000,154,3.9707,126
703000,173,4.1319,135
704000,168,4.2319,107
705000,181,4.1547,128
706000,177,4.2005,120
707000,164,4.0888,135
708000,179,4.2604,124
709000,190,4.3359,110
710000,185,4.3286,108
711000,173,4.1735,109
712000,170,4.0012,139
713000,167,3.9312,145
714000,164,3.9334,154
715000,185,4.0749,143
716000,178,4.0674,144
717000,191,4.1584,138
718000,185,4.1941,117
719000,182,4.1594,122
720000,179,4.2199,86
721000,171,4.0133,135
722000,176,4.1039,129
723000,175,4.0409,121
724000,183,4.1894,125
725000,177,4.1428,118
726000,173,4.1431,117
727000,173,4.1867,121
728000,176,4.2224,98
729000,159,4.0710,104
730000,171,4.1503,101
731000,172,4.0756,131
732000,170,4.1508,126
733000,172,4.1757,128
734000,173,4.1803,123
735000,171,4.1751,113
736000,178,4.1578,121
737000,190,4.2757,105
738000,182,4.1556,117
739000,189,4.1299,110
740000,178,4.0948,134
741000,185,4.1754,117
742000,171,3.9773,150
743000,170,4.0449,147
744000,181,4.0850,139
745000,189,4.1940,118
746000,207,4.2952,109
747000,178,4.1215,114
748000,178,4.1424,112
749000,178,4.2104,110
750000,178,4.1376,120
751000,174,4.1461,102
752000,172,4.1064,122
753000,175,4.1521,129
754000,175,4.1399,131
755000,180,4.1304,116
756000,185,4.1610,112
757000,170,4.0348,126
758000,183,4.1207,122
759000,179,4.0250,131
760000,180,4.0287,152
761000,199,4.1781,129
762000,197,4.1950,114
763000,188,4.1162,139
764000,193,4.1827,124
765000,199,4.1796,137
766000,197,4.1675,141
767000,187,4.2946,102
768000,193,4.2778,114
769000,183,4.2402,108
770000,190,4.2422,110
771000,196,4.2959,107
772000,189,4.2623,113
773000,188,4.2838,101
774000,171,4.1888,105
775000,179,4.2577,97
776000,185,4.3081,85
777000,185,4.2494,101
778000,192,4.2888,113
779000,197,4.2998,99
780000,186,4.1700,120
781000,184,4.1763,116
782000,193,4.1326,136
783000,191,4.0493,140
784000,194,4.1327,134
785000,193,4.2236,118
786000,209,4.3385,106
787000,203,4.2923,111
788000,205,4.2710,121
789000,178,4.1998,105
790000,174,4.1580,95
791000,179,4.0756,111
792000,164,3.9403,135
793000,182,4.0794,131
794000,194,4.2116,115
795000,200,4.1657,121
796000,202,4.2005,116
797000,193,4.2317,112
798000,195,4.3829,116
799000,178,4.2621,100
800000,188,4.2731,104
801000,196,4.3643,97
802000,191,4.4133,75
803000,183,4.2766,89
804000,180,4.2276,101
805000,172,4.1951,91
806000,166,4.0367,110
807000,178,3.9931,132
808000,177,4.0727,114
809000,179,4.0169,104
810000,172,4.0793,90
811000,168,3.9096,110
812000,166,3.9381,123
813000,181,4.0230,125
814000,166,3.8738,148
815000,167,3.8959,143
816000,203,4.1341,135
817000,195,4.0209,133
818000,187,4.0232,120
819000,193,4.1506,108
820000,196,4.1826,111
821000,184,4.0830,127
822000,179,4.1480,115
823000,180,4.1632,116
824000,196,4.2192,112
825000,183,4.1993,99
826000,175,4.2424,100
827000,163,4.1601,84
828000,175,4.2860,75
829000,178,4.2067,86
830000,165,4.1425,89
831000,175,4.0910,99
832000,171,3.9690,105
833000,172,3.9700,112
834000,177,4.0066,98
835000,152,3.8989,99
836000,154,3.9424,95
837000,154,3.8966,111
838000,152,3.8727,120
839000,170,4.0074,109
840000,165,3.9355,112
841000,170,3.9726,121
842000,163,4.0136,129
843000,157,4.0006,119
844000,149,4.0573,92
845000,168,4.0751,98
846000,157,3.9049,99
847000,157,4.0049,99
848000,153,3.9536,100
849000,150,3.9904,91
850000,150,3.9938,91
851000,141,3.8903,104
852000,132,3.8463,97
853000,128,3.7726,109
854000,128,3.6766,128
855000,124,3.7106,125
856000,137,3.7953,112
857000,137,3.8406,120
858000,151,3.9132,126
859000,145,3.9627,125
860000,154,4.0351,100
861000,139,3.8712,111
862000,134,3.8325,126
863000,138,3.8848,104
864000,129,3.8401,97
865000,126,3.8058,111
866000,134,3.7896,97
867000,122,3.7104,123
868000,113,3.5919,116
869000,109,3.5516,117
870000,105,3.4846,117
871000,105,3.4656,135
872000,125,3.5649,134
873000,120,3.6578,111
874000,118,3.6345,103
875000,123,3.6581,97
876000,116,3.5853,104
877000,107,3.5267,94
878000,99,3.3459,112
879000,85,3.2726,126
880000,88,3.3451,127
881000,108,3.5096,124
882000,111,3.5866,100
883000,111,3.4273,119
884000,113,3.4650,127
885000,109,3.4474,119
886000,114,3.5193,135
887000,124,3.6461,108
888000,122,3.6753,109
889000,121,3.6460,121
890000,120,3.5957,111
891000,119,3.5510,131
892000,133,3.5970,127
893000,132,3.6432,127
894000,137,3.6836,124
895000,138,3.7485,120
896000,146,3.7991,124
897000,149,3.8954,110
898000,142,3.8133,108
899000,134,3.8171,96
900000,131,3.7145,119
901000,129,3.6377,108
902000,128,3.6496,112
903000,119,3.6128,105
904000,107,3.5275,111
905000,103,3.4458,117
906000,101,3.4296,115
907000,104,3.4966,116
908000,115,3.5786,116
909000,115,3.5931,119
910000,130,3.7029,129
911000,145,3.7842,118
912000,139,3.8146,107
913000,131,3.7933,99
914000,128,3.7384,126
915000,132,3.8383,105
916000,132,3.8893,104
917000,140,3.9923,94
918000,138,4.0040,95
919000,137,3.9603,102
920000,139,4.0484,77
921000,132,4.0010,81
922000,137,4.0050,80
923000,124,3.8825,85
924000,112,3.7781,92
925000,109,3.7498,107
926000,103,3.7253,96
927000,124,3.8457,97
928000,120,3.8793,80
929000,123,3.8655,78
930000,108,3.7328,72
931000,106,3.7001,78
932000,104,3.6395,85
933000,110,3.6434,92
934000,107,3.5973,78
935000,103,3.5882,78
936000,103,3.5642,84
937000,96,3.5506,83
938000,92,3.4910,86
939000,92,3.5038,87
940000,81,3.3934,99
941000,84,3.4397,104
942000,82,3.4193,88
943000,87,3.3883,97
944000,89,3.3346,110
945000,88,3.2461,111
946000,98,3.2788,115
947000,102,3.3930,116
948000,97,3.3646,109
949000,94,3.3133,135
950000,105,3.4408,120
